Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
482;"""Última Parada - 174""";Bruno Barreto;RPJ Produtores Associados / Movi & Art Produções Cinematográficas;SP;out/08;2008;526,094
483;"""A Casa da Mãe Joana""";Hugo Carvana;MAC Comunicação e Produção;RJ;set/08;2008;525,035
484;"""Totalmente Inocentes """;Rodrigo Bittencourt Ramos;Atitude Produções;RJ;set/12;2012;523,577
485;"""Sexo e Violência em Búzios""";Luiz Antonio Piá;São Francisco Empreendimentos Cinematográficos;RJ;mai/78;1978;523,031
486;"""Doce Esporte do Sexo""";Zelito Vianna;Produções Cinematográficas Mapa;RJ;fev/72;1972;522,986
487;"""O Clube das Infiéis""";Cláudio Cunha;Kinema Filmes;SP;jun/75;1975;521,31
488;"""Caçada Sangrenta""";Ozualdo Candeias;Dacar Produções Cinematográficas;SP;mai/74;1974;520,94
489;"""Bossa Nova""";Bruno Barreto;Filmes do Equador;RJ;mar/00;2000;520,614
490;"""A Vingança dos Doze""";Marcos Farias;Saga Filmes;RJ;nov/70;1970;518,135
491;"""Colegiais e Lições de Sexo""";Juan Bajon;Brasil Internacional Cinematográfica;SP;set/80;1980;518,067
492;"""A Infidelidade ao Alcance de Todos""";Anibal Massaini, Olivier Perroy;Cinedistri;SP;ago/72;1972;518,033
493;"""Mulheres Violentadas""";Francisco Cavalcanti;Ribalta Filmes;SP;abr/78;1978;517,537
494;"""As Mães de Chico Xavier""";Glauber Filho e Halder Gomes;Luz Produções Cinematográficas;CE;abr/11;2011;517,33
495;"""Jerônimo, o Herói do Sertão""";Dionísio Azevedo, Gonzaga Blota, Maurício Sherman;TV Tupi;SP;jul/71;1971;517,255
496;"""Pureza Proibida""";Alfredo Sternheim;RG Produções Cinematográficas;SP;dez/74;1974;516,603
497;"""As Eróticas Profissionais""";Mozael Silveira;Reflexo Filmes;SP;dez/77;1977;515,682
498;"""A Fêmea do Mar""";Ody Fraga;Maspe Filmes;SP;nov/80;1980;513,634
499;"""Com a Cama na Cabeça""";Mozael Silveira;Mozael Silveira Produções Cinematográficas;SP;set/73;1973;513,44
500;"""Reformatório das Depravadas""";Ody Fraga;Produções Cinematográficas Galante;SP;set/78;1978;512,952
501;"""Tieta do Agreste""";Cacá Diegues;Sky Light Cinema Foto e Art;RJ;ago/96;1996;511,954
502;"""Muito Gelo e Dois Dedos D'Água""";Daniel Filho;Lereby Produções;RJ;out/06;2006;509,098
503;"""Efigênia Dá tudo que Tem""";Olivier Perroy;Olho Fotografia e Cinematografia;SP;ago/75;1975;508,908
504;"""Getúlio""";João Jardim;Fogo Azul Filmes Ltda.;RJ;mai/14;2014;508,901
505;"""Trindade É o meu Nome""";Edward Freund;Brasecran;SP;jan/74;1974;508,208
506;"""A Virgem Camuflada""";Célio Gonçalves;Produfilmes;SP;out/79;1979;508,175
507;"""Manicures a Domicílio""";Carlo Mossy;Vidya Produções Cinematográficas;RJ;fev/80;1980;507,829
508;"""Álbum de Família / História Devassa""";Braz Chediak;Atlântida Cinematográfica;RJ;out/81;1981;507,377
509;"""Como se tornar o pior aluno da escola""";Fabricio Bittar;Clube Filmes;SP;out/17;2017;506,412
510;"""Rua Descalça""";J.B. Tanko;Produções Cinematográficas Herbert Richers;RJ;jul/81;1981;506,133
511;"""Divórcio à Brasileira""";Ismar Porto;Kiko Filmes;SP;fev/74;1974;503,493
512;"""A Marca da Ferradura""";Nelson Teixeira Mendes;NTM Produtora e Distribuidora de Filmes;SP;abr/71;1971;502,675
513;"""Pintando o Sexo """;Egídio Eccio/ Jairo Carlos;JCMilfilmes;SP;mai/78;1978;500,417
