Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
83;"""O Bem Dotado Homem de Itu""";José Miziara;Cinedistri;SP;jun/78;1978;2,409,162
84;"""Xuxa Popstar""";Paulo Sérgio Almeida e Tizuka Yamasaki;Diler & Associados;RJ;dez/00;2000;2,394,326
85;"""Fala sério, mãe!""";Pedro Vasconcelos;Camisa Listrada/Focus Films;RJ;dez/17;2017;2,385,118
86;"""A Mulher Invisível""";Cláudio Torres;Conspiração Filmes;RJ;jun/09;2009;2,353,646
87;"""A Banda das Velhas Virgens""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;jul/79;1979;2,345,553
88;"""Maria, Mãe do Filho de Deus""";Moacyr Góes;Diler & Associados;RJ;dez/02;2002;2,332,873
89;"""Portugal, minha Saudade""";Amácio Mazzaropi;PAM Filmes;SP;jan/74;1974;2,325,650
90;"""Xuxa e os Duendes 2""";Paulo Sérgio Almeida e Rogério Gomes;Diler & Associados;RJ;dez/02;2002;2,301,152
91;"""O Candidato Honesto""";Roberto Santucci;Camisa Listrada / PANORAMA FILMES;MG / RJ;out/14;2014;2,237,776
92;"""O Caso Cláudia""";Miguel Borges;Artenova;RJ;ago/79;1979;2,220,116
93;"""Sexo, Amor e Traição""";Jorge Fernando;Total Entertainment;RJ;jan/04;2004;2,219,423
94;"""Xuxa Abracadabra""";Moacyr Góes;Diler & Associados;RJ;dez/03;2003;2,214,481
95;"""Giselle""";Victor di Mello;Vidya Produções;RJ;nov/80;1980;2,206,682
96;"""Os Normais 2""";José Alvarenga Jr.;Globo Filmes;RJ;ago/09;2009;2,202,640
97;"""O Trapalhão na Arca de Noé""";Del Rangel;Renato Aragão Produções Artísticas;RJ;dez/83;1983;2,181,017
98;"""Bruna Surfistinha""";Marcus Baldini;TV Zero Cinema Ltda.;RJ;fev/11;2011;2,176,999
99;"""Como É Boa a nossa Empregada""";Victor di Mello e Ismar Porto;Vidya Produções;RJ;mai/73;1973;2,163,036
100;"""O Auto da Compadecida""";Guel Arraes;Globo Filmes;RJ;set/00;2000;2,157,166
101;"""O Cortiço""";Francisco Ramalho Jr;Argos Filmes;SP;abr/78;1978;2,131,643
102;"""Menino do Rio""";Antonio Calmon;LC Barreto;RJ;jan/82;1982;2,120,903
103;"""A Noite das Taras""";David Cardoso, John Doo e Ody Fraga;Dacar Produções Cinematográficas;SP;jun/80;1980;2,107,829
104;"""Meu Nome não É Johnny""";Mauro Lima;Atitude Produções e Empreendimentos;RJ;jan/08;2008;2,099,294
105;"""Xuxa Requebra""";Tizuka Yamazaki;Diler & Associados;RJ;dez/99;1999;2,074,461
106;"""O Verdadeiro Amante Sexual """;Levi Salgado;Levi Salgado Produções  Cinematográficas;SP;1989;1989;2,053,495
107;"""A Grande Família - o Filme""";Maurício Farias;Globo Filmes;RJ;jan/07;2007;2,035,576
108;"""Mulher Objeto""";Silvio de Abreu;Cinearte Produções Cinematográficas;SP;set/81;1981;2,031,520
109;"""O Roubo das Calcinhas""";Braz Chediak, Sandoval Aguiar;Sincrocine;RJ;set/75;1975;2,017,063
110;"""Assalto ao Banco Central""";Marcos Paulo;Total Entertainment;RJ;jul/11;2011;1,966,736
111;"""Convite ao Prazer""";Walter Hugo Khoury;Galante Filmes;SP;abr/80;1980;1,944,273
112;"""Os 7 Gatinhos""";Neville de Almeida;Cineville;RJ;mar/80;1980;1,938,136
113;"""Bonitinha, mas Ordinária""";Braz Chediak;Sincrocine;RJ;jan/81;1981;1,933,710
114;"""Ainda Agarro essa Vizinha""";Pedro Carlos Rovai;Sincrocine;RJ;jul/74;1974;1,922,478
115;"""Eu (1)""";Walter Hugo Khoury;Cinearte Produções Cinematográficas;SP;ago/87;1987;1,910,000
116;"""Os Caras de Pau em o Misterioso Roubo do Anel""";Felipe Joffily;Casé Filmes Ltda;RJ;dez/14;2014;1,892,337
117;"""O Mundo Mágico dos Trapalhões""";Silvio Tendler;Renato Aragão Produções Artísticas;RJ;jun/81;1981;1,892,117
118;"""Divã""";José Alvarenga Jr.;Total Entertainment;RJ;abr/09;2009;1,866,403
119;"""Motorista sem Limites""";Milton Barragan;Teixeirinha Produções Artísticas;RS;ago/70;1970;1,808,513
120;"""Os Homens são de Marte... E é para lá que eu vou""";Marcus Baldini;BIÔNICA CINEMA E TV LTDA.ME;SP;mai/14;2014;1,793,239
121;"""O Beijo da Mulher Aranha""";Hector Babenco;HB Filmes;SP;mar/86;1986;1,778,728
122;"""S. O. S. Mulheres ao Mar""";Cris D'Amato;ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA;RJ;mar/14;2014;1,776,579
123;"""Iracema, a Virgem dos Lábios de Mel""";Carlos Coimbra;CSC Produções Cinematográficas;RJ;jun/79;1979;1,771,498
124;"""Didi, o Cupido Trapalhão""";Paulo Aragão e Alexandre Boury;Diler & Associados;RJ;abr/03;2003;1,758,579
125;"""Luz del Fuego""";David Neves;Morena Produtores de Arte;RJ;mar/82;1982;1,751,930
126;"""Os Trapalhões no Reino da Fantasia""";Dedé Santana;Renato Aragão Produções Artísticas;RJ;jun/85;1985;1,751,709
127;"""Toda Nudez Será Castigada""";Arnaldo Jabor;Produções Cinematográficas R. F. Farias;RJ;dez/72;1972;1,737,151
128;"""É fada!""";Cris D'Amato;Lereby;RJ;out/16;2016;1,722,069
129;"""Crô - O Filme""";Bruno Barreto;Filmes do Equador;RJ;nov/13;2013;1,716,774
130;"""Somos tão Jovens""";Antonio Carlos da Fontoura;Canto Claro Produções Artísticas;RJ;mai/13;2013;1,715,763
131;"""Eu Sei que Vou te Amar""";Arnaldo Jabor;Sagitarius Produções Cinematográficas;RJ;abr/86;1986;1,713,801
132;"""Sonho de Verão""";Paulo Sérgio Almeida e Rogério Gomes;Dreamvision;RJ;dez/90;1990;1,700,000
133;"""Ela Tornou-se Freira""";Pereira Dias;Teixeirinha Produções Artísticas;RS;fev/72;1972;1,689,470
134;"""Uma Mulher Provocante/Ivone, a Rainha do Pecado """;Francisco Cavalcanti;Platéia Filmes;SP;1984;1984;1,671,264
135;"""Simão, o Fantasma Trapalhão""";Paulo Aragão;Renato Aragão Produções Artísticas;RJ;dez/98;1998;1,658,136
136;"""Os parças""";Halder Catunda Gomes;Formata Produções;SP;nov/17;2017;1,657,843
137;"""Ali Babá e os 40 Ladrões""";Vítor Lima;Jarbas Barbosa Produções Cinematográficas;RJ;fev/72;1972;1,641,372
138;"""S.O.S Mulheres ao mar 2""";Cristiane D´Amato;Migdal Produções Cinematográficas;RJ;out/15;2015;1,638,272
139;"""Deus é Brasileiro""";Cacá Diegues;Rio Vermelho Filmes;RJ;jan/03;2003;1,635,212
140;"""Gente Fina É Outra Coisa""";Antonio Calmon;Sincrocine;RJ;set/77;1977;1,611,723
141;"""Central do Brasil""";Walter Salles;Videofilmes Produções Artísticas;RJ;abr/98;1998;1,593,967
142;"""Jeca e a Égua Milagrosa""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;set/80;1980;1,564,196
