"""Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público ;;;;
2018;B1800311900000;"""Como Fotografei Os Yanomami""";Otavio Cury;Documentário;"""Outros Filmes""";SP;"""Studio Riff""";SP;Descoloniza Filmes;3;"""3676""";345;;;;
2018;B1700416600000;"""Como Você Me Vê?""";Felipe Carneiro Bond Borges;Documentário;"""Bond's Produções""";RJ;"""Canal Brasil""";RJ;Bond'S Filmes;2;"""2305""";167;;;;
2018;B1700449500000;"""Construindo Pontes""";Heloisa Passos;Documentário;"""Máquina Filmes""";PR;""" -"""; -;Máquina Filmes;10;"""24710""";2,538;;;;
2018;B1700529900000;"""Coração De Cowboy""";Guilherme Francisco Pereira;Ficção;"""Dodo Filmes""";SP;""" -"""; -;O2 Play;198;"""414522""";30,688;;;;
2018;B1600707400000;"""Corpo Em Terapia""";Marcia Gutierres Paveck;Documentário;"""RB6""";SP;"""Araruna Filmes/Marcia Gutierres Paveck""";SP;Rb6;2;"""8435""";607;;;;
2018;B1800340300000;"""Crô Em Familia""";Maria Lupicinia Viana De Paula Gigliotti;Ficção;"""Total Entertainment""";RJ;"""Globo Filmes/Xanadu""";RJ;Imagem;613;"""6822165""";478,114;;;;
2018;B1700580400000;"""Dedo Na Ferida""";Silvio Tendler;Documentário;"""Caliban Produções Cinematográficas""";RJ;"""FISENGE/SENGE RJ""";RJ;Caliban;11;"""65100""";4,72;;;;
2018;B1800561400000;"""Detetives Do Prédio Azul 2 - O Mistério Italiano""";Vivianne Rise Jundi;Ficção;"""Paris Entretenimento""";RJ;"""Globo Filmes/Globosat/Rsmts Empreendimentos e Participações""";RJ;Paris;1,046;"""12333886""";884,775;;;;
2018;B1800445100000;"""Diamantino""";Gabriel Abrantes;Ficção;"""Syndrome Films""";RJ;""" -"""; -;Vitrine Filmes;17;"""34233""";2,2;;;;
2018;B1800530700000;"""Diário Da Greve""";Guilherme Sarmiento Da Silva;Ficção;"""Griot Filmes""";BA;""" -"""; -;Griot Producoes;1;"""95""";8;;;;
2018;B1800422100000;"""Djon África""";Filipa Reis/João Miller Guerra;Ficção;"""Desvia""";PE;""" -"""; -;Vitrine Filmes;36;"""20959""";3,131;;;;
2018;B1700316900000;"""Em 97 Era Assim""";Zeca Brito;Ficção;"""Panda Filmes""";RS;"""Coelho Voador/Anti Filmes""";RS;Bretz Filmes;17;"""14283""";1,238;;;;
2018;B1700546500000;"""Em Nome Da América""";Fernando Weller;Documentário;"""Jaragua Produções/Plano 9 Produções""";PE;"""Fernando Weller"""; -;Inquieta Cultura E Comunicação;6;"""10648""";1,188;;;;
2018;B1700189700000;"""Em Um Mundo Interior""";Flavio Frederico/Mariana Pamplona;Documentário;"""Kinoscópio""";SP;"""Inacreditavel Comercio de Aparelhos Fotograficos e Servicos Ltda - Me""";SP;Elo Company;29;"""23868""";2,364;;;;
2018;B1700402200000;"""Escolas Em Luta""";Eduardo Consonni/Rodrigo Teixeira Marques/Tiago Tambelli;Documentário;"""Lente Viva Filmes""";SP;"""Complô""";SP;Taturana;1;"""2245""";311;;;;
2018;B1700544600000;"""Estrada De Sonhos""";Pedro Von Krüger;Documentário;"""Com Domínio Filmes""";RJ;""" -"""; -;Com Domínio Filmes;2;"""4991""";332;;;;
2018;B1101515900000;"""Estradeiros""";Renata Pinheiro/Sérgio Oliveira;Documentário;"""Aroma Filmes/Sergio Oliveira""";PE;"""EBC TV Brasil""";DF;Boulevard Filmes;2;"""1275""";183;;;;
2018;B1800462300000;"""Excelentíssimos""";Douglas Duarte Menhinick;Documentário;"""Esquina Filmes""";RJ;""" -"""; -;Vitrine Filmes;11;"""24392""";1,949;;;;
2018;B1800001000000;"""Ex-Pajé""";Luiz Bolognesi;Documentário;"""Buriti Filmes""";SP;"""Gullane""";SP;Gullane Entretenimento;14;"""130030""";9,133;;;;
2018;B1800056700000;"""Ferrugem""";Aly Muritiba;Ficção;"""Grafo Audiovisual""";PR;"""Globo Filmes/Canal Brasil/O2 Filmes""";RJ/RJ/SP;Olhar Distribuição;60;"""362004""";27,808;;;;
2018;B1600412300000;"""Fica Mais Escuro Antes Do Amanhecer""";Thiago Luciano;Ficção;"""Zero Grau Filmes""";SP;"""Canal Brasil""";RJ;O2 Play;12;"""6648""";540;;;;
2018;B1800044200000;"""Filme Paisagem - Um Olhar Sobre Roberto Burle Marx""";João Vargas;Documentário;"""Camisa Listrada""";RJ;"""João Vargas"""; -;Elo Company;8;"""25226""";1,837;;;;
2018;B1600754000000;"""Gaby Estrella""";Cláudio Boeckel;Ficção;"""Chatrone America Latina/Panorâmica""";SP/RJ;""" -"""; -;Downtown/Paris;153;"""506245""";37,679;;;;
2018;B1700529800000;"""Garimpeiros Do Voto""";Ernesto Carneiro Rodrigues;Documentário;"""Bizum Comunicação""";RJ;"""Globo Filmes/Canal Brasil""";RJ;Bizum;1;"""328""";75;;;;
2018;B1700605900000;"""Górgona""";Fábio Galvani Furtado/Pedro Cavalheiro Jezler;Documentário;"""Fábio Galvani Furtado/Pedro Cavalheiro Jezler"""; -;""" -"""; -;Espaço Filmes;4;"""4189""";224;;;;
2018;B1700481900000;"""Grandes Médicos""";Luiz Alberto Brizola Cassol/Marilaine Castro Da Costa;Documentário;"""Accorde Filmes""";RS;""" -"""; -;Accorde Audiovisuais;1;"""190""";24;;;;
2018;B1800152000000;"""Guarnieri""";Francisco Lima Guarnieri;Documentário;"""Mira Filmes""";SP;""" -"""; -;Mira Filmes;6;"""769""";199;;;;
2018;B1700469700000;"""Henfil""";Angela Zoé;Documentário;"""Documenta Filmes""";RJ;"""Globo Filmes/Canal Brasil""";RJ;O2 Play;25;"""29591""";2,116;;;;
2018;B1700374300000;"""Híbridos, Os Espíritos Do Brasil""";Vincent Moon/Priscilla Telmon;Documentário;"""Feever Filmes""";RJ;""" -"""; -;Descoloniza Filmes;5;"""22841""";1,42;;;;
2018;B1800290300000;"""Hilda Hilst Pede Contato""";Gabriela Greeb;Documentário;"""Homemadefilms""";SP;""" -"""; -;Imovision;17;"""53086""";3,936;;;;
2018;B1700065100000;"""Histórias Que Nosso Cinema (Não) Contava""";Fernanda Pessoa;Documentário;"""Pessoa Produções Artísticas""";SP;"""Studio Riff""";SP;Boulevard Filmes;16;"""46222""";3,892;;;;
2018;B1600193300000;"""Imagens Do Estado Novo 1937-45""";Eduardo Escorel;Documentário;"""Tatu Filmes""";SP;""" -"""; -;Brasil 1500;5;"""39625""";2,701;;;;
2018;B1800449100000;"""Intimidade Entre Estranhos""";José Alvarenga Jr,;Ficção;"""Migdal Filmes""";RJ;"""Globo Filmes/Canal Brasil""";RJ;Vitrine Filmes;35;"""63364""";4,017;;;;
2018;B1800548300000;"""Isto (Não) É Um Assalto""";Rodrigo Souza Grota;Documentário;"""Kinopus""";PR;""" -"""; -;Kinopus;4;"""10261""";1,067;;;;
2018;B1800046600000;"""Legalize Já - Amizade Nunca Morre""";Gustavo Bonafé/Johnny Araújo;Ficção;"""Academia de Filmes""";SP;"""Telecine/Rede Record de Televisão""";RJ/SP;Imagem;173;"""533139""";36,251;;;;
2018;B1700307700000;"""Literalmente Especiais""";Victor Hugo Rezende Molin;Documentário;"""Filmland Internacional""";SP;""" -"""; -;Latinamerica Entretenimento Internacional;1;"""3033""";295;;;;
2018;B1700605800000;"""Los Territorios""";Ivan Pablo Granovsky;Documentário;"""Punta Colorada de Cinema""";SP;"""Sancho Filmes""";SP;Vitrine Filmes;10;"""8504""";864;;;;
2018;B1800260300000;"""Marcha Cega""";Gabriel Di Giacomo Rocha;Documentário;"""Salvatore Filmes""";SP;""" -"""; -;Elo Company;21;"""6692""";900;;;;
2018;B1700000300000;"""Marcos Medeiros - Codinome Vampiro""";Vicente Duque Estrada Paim;Documentário;"""Cavideo Produções""";RJ;"""Canal Brasil""";RJ;Cavideo Produções;1;"""1615""";117;;;;
2018;B1800092400000;"""Mare Nostrum""";Ricardo Elias;Ficção;"""Raiz Produções""";SP;""" -"""; -;Imovision;21;"""25177""";1,95;;;;
2018;B1800002100000;"""Mata Negra""";Rodrigo Simões Aragão;Ficção;"""Fábulas Negras Produções Artísticas""";ES;"""Finordia Produções""";ES;Elo Company;22;"""8561""";873;;;;
2018;B1800177600000;"""Memória Italiana - Histórias Em Família""";Adriana Da Silva;Documentário;"""Filmland Internacional""";SP;""" -"""; -;Latinamerica Entretenimento Internacional;1;"""854""";77;;;;
2018;B1700306600000;"""Memórias De Uma Escola""";Adriana Da Silva;Documentário;"""Filmland Internacional""";SP;""" -"""; -;Latinamerica Entretenimento Internacional;1;"""2834""";275;;;;
2018;B1700480400000;"""Meu Tio E O Joelho De Porco""";Rafael Terpins;Documentário;"""A Fantástica Fábrica de Filmes""";SP;"""Canal Brasil""";RJ;Elo Company;22;"""4140""";475;;;;
2018;B1800505200000;"""Meu Tricolor De Aço""";Alcino Carvalho Brasil/Edvaldo Siqueira Albuquerque/Glauber Filho;Documentário;"""Estação Luz Filmes""";CE;""" -"""; -;Estação Luz Filmes;16;"""141001""";9,541;;;;
2018;B1800563600000;"""Minas Do Futebol""";Yugo Hattori;Documentário;"""Paris Entretenimento""";SP;"""Alvorada Filmes""";SP;Paris;2;"""556""";41;;;;
2018;B1800539000000;"""Minha Vida Em Marte""";Susana Garcia Assis Freire;Ficção;"""Capri Produções""";RJ;"""A Fábrica/Globo Filmes/Xanadu""";RJ;Downtown/Paris;925;"""14715902""";925,411;;;;
2018;B1800300700000;"""Missão 115""";Silvio Piropo Da Rin;Documentário;"""Diálogo Comunicação""";RJ;"""Afinal Filmes""";RJ;Bretz Filmes;8;"""20520""";1,467;;;;
2018;B1700465300000;"""Moacir""";Tomas Lipgot;Documentário;"""Miração Filmes""";SP;""" -"""; -;Miração Filmes;5;"""4298""";375;;;;
2018;B1700614000000;"""Motorrad""";Vicente Amorim;Ficção;"""Filmland Internacional""";SP;""" -"""; -;Warner;166;"""141413""";10,493;;;;
2018;B1800269200000;"""Mulheres Alteradas""";Luis Pinheiro;Ficção;"""O2 Filmes""";SP;"""Globo Filmes/Telecine""";RJ;Downtown/Paris;163;"""1440179""";92,607;;;;
2018;B1402254000000;"""My Name Is Now, Elza Soares""";Elizabete Martins Campos;Documentário;"""IT Filmes""";MG;""" -"""; -;It Filmes;13;"""43868""";2,836;;;;
2018;B1800110100000;"""Nada A Perder""";Alexandre Avancini;Ficção;"""Record Entretenimento""";SP;""" -"""; -;Downtown/Paris;1,161;"""120992794""";12,184,373;;;;
